close_task_id,company_code,company_name,fiscal_year,fiscal_period,task_id,task_name,task_sequence,target_working_day,period_end_date,due_date,actual_completion_date,delay_working_days,days_to_close,is_period_open
476,NS10,NovaSpace España S.A.,2026,4,T08,Intercompany reconciliation,8,3,2026-04-30,2026-05-06,2026-05-05,-1.0,,false
477,NS10,NovaSpace España S.A.,2026,4,T09,FX revaluation,9,4,2026-04-30,2026-05-07,2026-05-07,0.0,,false
478,NS10,NovaSpace España S.A.,2026,4,T10,Soft close / reporting cut-off,10,4,2026-04-30,2026-05-07,2026-05-07,0.0,,false
479,NS10,NovaSpace España S.A.,2026,4,T11,Management reporting pack,11,5,2026-04-30,2026-05-08,2026-05-11,1.0,,false
480,NS10,NovaSpace España S.A.,2026,4,T12,Hard close / period lock,12,5,2026-04-30,2026-05-08,2026-05-08,0.0,5.0,false
481,NS10,NovaSpace España S.A.,2026,5,T01,Sub-ledger cut-off — Accounts Payable,1,1,2026-05-31,2026-06-01,2026-06-01,0.0,,false
482,NS10,NovaSpace España S.A.,2026,5,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2026-05-31,2026-06-01,2026-06-01,0.0,,false
483,NS10,NovaSpace España S.A.,2026,5,T03,GR/IR clearing,3,2,2026-05-31,2026-06-02,2026-06-01,-1.0,,false
484,NS10,NovaSpace España S.A.,2026,5,T04,Payroll posting,4,2,2026-05-31,2026-06-02,2026-06-03,1.0,,false
485,NS10,NovaSpace España S.A.,2026,5,T05,Depreciation run,5,2,2026-05-31,2026-06-02,2026-06-02,0.0,,false
486,NS10,NovaSpace España S.A.,2026,5,T06,Accruals posting,6,3,2026-05-31,2026-06-03,2026-06-03,0.0,,false
487,NS10,NovaSpace España S.A.,2026,5,T07,Overhead allocation cycle,7,3,2026-05-31,2026-06-03,2026-06-05,2.0,,false
488,NS10,NovaSpace España S.A.,2026,5,T08,Intercompany reconciliation,8,3,2026-05-31,2026-06-03,2026-06-04,1.0,,false
489,NS10,NovaSpace España S.A.,2026,5,T09,FX revaluation,9,4,2026-05-31,2026-06-04,2026-06-04,0.0,,false
490,NS10,NovaSpace España S.A.,2026,5,T10,Soft close / reporting cut-off,10,4,2026-05-31,2026-06-04,2026-06-04,0.0,,false
491,NS10,NovaSpace España S.A.,2026,5,T11,Management reporting pack,11,5,2026-05-31,2026-06-05,2026-06-04,-1.0,,false
492,NS10,NovaSpace España S.A.,2026,5,T12,Hard close / period lock,12,5,2026-05-31,2026-06-05,2026-06-05,0.0,5.0,false
493,NS10,NovaSpace España S.A.,2026,6,T01,Sub-ledger cut-off — Accounts Payable,1,1,2026-06-30,2026-07-01,2026-07-01,0.0,,false
494,NS10,NovaSpace España S.A.,2026,6,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2026-06-30,2026-07-01,2026-07-01,0.0,,false
495,NS10,NovaSpace España S.A.,2026,6,T03,GR/IR clearing,3,2,2026-06-30,2026-07-02,2026-07-02,0.0,,false
496,NS10,NovaSpace España S.A.,2026,6,T04,Payroll posting,4,2,2026-06-30,2026-07-02,2026-07-06,2.0,,false
497,NS10,NovaSpace España S.A.,2026,6,T05,Depreciation run,5,2,2026-06-30,2026-07-02,2026-07-01,-1.0,,false
498,NS10,NovaSpace España S.A.,2026,6,T06,Accruals posting,6,3,2026-06-30,2026-07-03,2026-07-03,0.0,,false
499,NS10,NovaSpace España S.A.,2026,6,T07,Overhead allocation cycle,7,3,2026-06-30,2026-07-03,2026-07-03,0.0,,false
500,NS10,NovaSpace España S.A.,2026,6,T08,Intercompany reconciliation,8,3,2026-06-30,2026-07-03,2026-07-02,-1.0,,false
501,NS10,NovaSpace España S.A.,2026,6,T09,FX revaluation,9,4,2026-06-30,2026-07-06,2026-07-06,0.0,,false
502,NS10,NovaSpace España S.A.,2026,6,T10,Soft close / reporting cut-off,10,4,2026-06-30,2026-07-06,2026-07-06,0.0,,false
503,NS10,NovaSpace España S.A.,2026,6,T11,Management reporting pack,11,5,2026-06-30,2026-07-07,2026-07-07,0.0,,false
504,NS10,NovaSpace España S.A.,2026,6,T12,Hard close / period lock,12,5,2026-06-30,2026-07-07,2026-07-07,0.0,5.0,false
505,NS20,NovaSpace France S.A.S.,2023,1,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-01-31,2023-02-01,2023-02-01,0.0,,false
506,NS20,NovaSpace France S.A.S.,2023,1,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-01-31,2023-02-01,2023-02-01,0.0,,false
507,NS20,NovaSpace France S.A.S.,2023,1,T03,GR/IR clearing,3,2,2023-01-31,2023-02-02,2023-02-02,0.0,,false
508,NS20,NovaSpace France S.A.S.,2023,1,T04,Payroll posting,4,2,2023-01-31,2023-02-02,2023-02-01,-1.0,,false
509,NS20,NovaSpace France S.A.S.,2023,1,T05,Depreciation run,5,2,2023-01-31,2023-02-02,2023-02-02,0.0,,false
510,NS20,NovaSpace France S.A.S.,2023,1,T06,Accruals posting,6,3,2023-01-31,2023-02-03,2023-02-03,0.0,,false
511,NS20,NovaSpace France S.A.S.,2023,1,T07,Overhead allocation cycle,7,3,2023-01-31,2023-02-03,2023-02-03,0.0,,false
512,NS20,NovaSpace France S.A.S.,2023,1,T08,Intercompany reconciliation,8,3,2023-01-31,2023-02-03,2023-02-03,0.0,,false
513,NS20,NovaSpace France S.A.S.,2023,1,T09,FX revaluation,9,4,2023-01-31,2023-02-06,2023-02-06,0.0,,false
514,NS20,NovaSpace France S.A.S.,2023,1,T10,Soft close / reporting cut-off,10,4,2023-01-31,2023-02-06,2023-02-08,2.0,,false
515,NS20,NovaSpace France S.A.S.,2023,1,T11,Management reporting pack,11,5,2023-01-31,2023-02-07,2023-02-07,0.0,,false
516,NS20,NovaSpace France S.A.S.,2023,1,T12,Hard close / period lock,12,5,2023-01-31,2023-02-07,2023-02-07,0.0,5.0,false
517,NS20,NovaSpace France S.A.S.,2023,2,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-02-28,2023-03-01,2023-03-01,0.0,,false
518,NS20,NovaSpace France S.A.S.,2023,2,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-02-28,2023-03-01,2023-03-01,0.0,,false
519,NS20,NovaSpace France S.A.S.,2023,2,T03,GR/IR clearing,3,2,2023-02-28,2023-03-02,2023-03-02,0.0,,false
520,NS20,NovaSpace France S.A.S.,2023,2,T04,Payroll posting,4,2,2023-02-28,2023-03-02,2023-03-01,-1.0,,false
521,NS20,NovaSpace France S.A.S.,2023,2,T05,Depreciation run,5,2,2023-02-28,2023-03-02,2023-03-02,0.0,,false
522,NS20,NovaSpace France S.A.S.,2023,2,T06,Accruals posting,6,3,2023-02-28,2023-03-03,2023-03-07,2.0,,false
523,NS20,NovaSpace France S.A.S.,2023,2,T07,Overhead allocation cycle,7,3,2023-02-28,2023-03-03,2023-03-03,0.0,,false
524,NS20,NovaSpace France S.A.S.,2023,2,T08,Intercompany reconciliation,8,3,2023-02-28,2023-03-03,2023-03-03,0.0,,false
525,NS20,NovaSpace France S.A.S.,2023,2,T09,FX revaluation,9,4,2023-02-28,2023-03-06,2023-03-06,0.0,,false
526,NS20,NovaSpace France S.A.S.,2023,2,T10,Soft close / reporting cut-off,10,4,2023-02-28,2023-03-06,2023-03-06,0.0,,false
527,NS20,NovaSpace France S.A.S.,2023,2,T11,Management reporting pack,11,5,2023-02-28,2023-03-07,2023-03-07,0.0,,false
528,NS20,NovaSpace France S.A.S.,2023,2,T12,Hard close / period lock,12,5,2023-02-28,2023-03-07,2023-03-07,0.0,5.0,false
529,NS20,NovaSpace France S.A.S.,2023,3,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-03-31,2023-04-03,2023-04-03,0.0,,false
530,NS20,NovaSpace France S.A.S.,2023,3,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-03-31,2023-04-03,2023-04-05,2.0,,false
531,NS20,NovaSpace France S.A.S.,2023,3,T03,GR/IR clearing,3,2,2023-03-31,2023-04-04,2023-04-04,0.0,,false
532,NS20,NovaSpace France S.A.S.,2023,3,T04,Payroll posting,4,2,2023-03-31,2023-04-04,2023-04-04,0.0,,false
533,NS20,NovaSpace France S.A.S.,2023,3,T05,Depreciation run,5,2,2023-03-31,2023-04-04,2023-04-05,1.0,,false
534,NS20,NovaSpace France S.A.S.,2023,3,T06,Accruals posting,6,3,2023-03-31,2023-04-05,2023-04-05,0.0,,false
535,NS20,NovaSpace France S.A.S.,2023,3,T07,Overhead allocation cycle,7,3,2023-03-31,2023-04-05,2023-04-06,1.0,,false
536,NS20,NovaSpace France S.A.S.,2023,3,T08,Intercompany reconciliation,8,3,2023-03-31,2023-04-05,2023-04-05,0.0,,false
537,NS20,NovaSpace France S.A.S.,2023,3,T09,FX revaluation,9,4,2023-03-31,2023-04-06,2023-04-12,2.0,,false
538,NS20,NovaSpace France S.A.S.,2023,3,T10,Soft close / reporting cut-off,10,4,2023-03-31,2023-04-06,2023-04-06,0.0,,false
539,NS20,NovaSpace France S.A.S.,2023,3,T11,Management reporting pack,11,5,2023-03-31,2023-04-11,2023-04-11,0.0,,false
540,NS20,NovaSpace France S.A.S.,2023,3,T12,Hard close / period lock,12,5,2023-03-31,2023-04-11,2023-04-11,0.0,5.0,false
541,NS20,NovaSpace France S.A.S.,2023,4,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-04-30,2023-05-02,2023-05-02,0.0,,false
542,NS20,NovaSpace France S.A.S.,2023,4,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-04-30,2023-05-02,2023-05-02,0.0,,false
543,NS20,NovaSpace France S.A.S.,2023,4,T03,GR/IR clearing,3,2,2023-04-30,2023-05-03,2023-05-03,0.0,,false
544,NS20,NovaSpace France S.A.S.,2023,4,T04,Payroll posting,4,2,2023-04-30,2023-05-03,2023-05-03,0.0,,false
545,NS20,NovaSpace France S.A.S.,2023,4,T05,Depreciation run,5,2,2023-04-30,2023-05-03,2023-05-03,0.0,,false
546,NS20,NovaSpace France S.A.S.,2023,4,T06,Accruals posting,6,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
547,NS20,NovaSpace France S.A.S.,2023,4,T07,Overhead allocation cycle,7,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
548,NS20,NovaSpace France S.A.S.,2023,4,T08,Intercompany reconciliation,8,3,2023-04-30,2023-05-04,2023-05-04,0.0,,false
549,NS20,NovaSpace France S.A.S.,2023,4,T09,FX revaluation,9,4,2023-04-30,2023-05-05,2023-05-09,2.0,,false
550,NS20,NovaSpace France S.A.S.,2023,4,T10,Soft close / reporting cut-off,10,4,2023-04-30,2023-05-05,2023-05-05,0.0,,false
551,NS20,NovaSpace France S.A.S.,2023,4,T11,Management reporting pack,11,5,2023-04-30,2023-05-08,2023-05-08,0.0,,false
552,NS20,NovaSpace France S.A.S.,2023,4,T12,Hard close / period lock,12,5,2023-04-30,2023-05-08,2023-05-09,1.0,6.0,false
553,NS20,NovaSpace France S.A.S.,2023,5,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-05-31,2023-06-01,2023-06-02,1.0,,false
554,NS20,NovaSpace France S.A.S.,2023,5,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-05-31,2023-06-01,2023-06-02,1.0,,false
555,NS20,NovaSpace France S.A.S.,2023,5,T03,GR/IR clearing,3,2,2023-05-31,2023-06-02,2023-06-02,0.0,,false
556,NS20,NovaSpace France S.A.S.,2023,5,T04,Payroll posting,4,2,2023-05-31,2023-06-02,2023-06-01,-1.0,,false
557,NS20,NovaSpace France S.A.S.,2023,5,T05,Depreciation run,5,2,2023-05-31,2023-06-02,2023-06-02,0.0,,false
558,NS20,NovaSpace France S.A.S.,2023,5,T06,Accruals posting,6,3,2023-05-31,2023-06-05,2023-06-05,0.0,,false
559,NS20,NovaSpace France S.A.S.,2023,5,T07,Overhead allocation cycle,7,3,2023-05-31,2023-06-05,2023-06-05,0.0,,false
560,NS20,NovaSpace France S.A.S.,2023,5,T08,Intercompany reconciliation,8,3,2023-05-31,2023-06-05,2023-06-05,0.0,,false
561,NS20,NovaSpace France S.A.S.,2023,5,T09,FX revaluation,9,4,2023-05-31,2023-06-06,2023-06-07,1.0,,false
562,NS20,NovaSpace France S.A.S.,2023,5,T10,Soft close / reporting cut-off,10,4,2023-05-31,2023-06-06,2023-06-07,1.0,,false
563,NS20,NovaSpace France S.A.S.,2023,5,T11,Management reporting pack,11,5,2023-05-31,2023-06-07,2023-06-09,2.0,,false
564,NS20,NovaSpace France S.A.S.,2023,5,T12,Hard close / period lock,12,5,2023-05-31,2023-06-07,2023-06-07,0.0,5.0,false
565,NS20,NovaSpace France S.A.S.,2023,6,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-06-30,2023-07-03,2023-07-03,0.0,,false
566,NS20,NovaSpace France S.A.S.,2023,6,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-06-30,2023-07-03,2023-07-04,1.0,,false
567,NS20,NovaSpace France S.A.S.,2023,6,T03,GR/IR clearing,3,2,2023-06-30,2023-07-04,2023-07-03,-1.0,,false
568,NS20,NovaSpace France S.A.S.,2023,6,T04,Payroll posting,4,2,2023-06-30,2023-07-04,2023-07-04,0.0,,false
569,NS20,NovaSpace France S.A.S.,2023,6,T05,Depreciation run,5,2,2023-06-30,2023-07-04,2023-07-04,0.0,,false
570,NS20,NovaSpace France S.A.S.,2023,6,T06,Accruals posting,6,3,2023-06-30,2023-07-05,2023-07-05,0.0,,false
571,NS20,NovaSpace France S.A.S.,2023,6,T07,Overhead allocation cycle,7,3,2023-06-30,2023-07-05,2023-07-05,0.0,,false
572,NS20,NovaSpace France S.A.S.,2023,6,T08,Intercompany reconciliation,8,3,2023-06-30,2023-07-05,2023-07-06,1.0,,false
573,NS20,NovaSpace France S.A.S.,2023,6,T09,FX revaluation,9,4,2023-06-30,2023-07-06,2023-07-10,2.0,,false
574,NS20,NovaSpace France S.A.S.,2023,6,T10,Soft close / reporting cut-off,10,4,2023-06-30,2023-07-06,2023-07-06,0.0,,false
575,NS20,NovaSpace France S.A.S.,2023,6,T11,Management reporting pack,11,5,2023-06-30,2023-07-07,2023-07-07,0.0,,false
576,NS20,NovaSpace France S.A.S.,2023,6,T12,Hard close / period lock,12,5,2023-06-30,2023-07-07,2023-07-11,2.0,7.0,false
577,NS20,NovaSpace France S.A.S.,2023,7,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-07-31,2023-08-01,2023-08-01,0.0,,false
578,NS20,NovaSpace France S.A.S.,2023,7,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-07-31,2023-08-01,2023-08-01,0.0,,false
579,NS20,NovaSpace France S.A.S.,2023,7,T03,GR/IR clearing,3,2,2023-07-31,2023-08-02,2023-08-02,0.0,,false
580,NS20,NovaSpace France S.A.S.,2023,7,T04,Payroll posting,4,2,2023-07-31,2023-08-02,2023-08-02,0.0,,false
581,NS20,NovaSpace France S.A.S.,2023,7,T05,Depreciation run,5,2,2023-07-31,2023-08-02,2023-08-02,0.0,,false
582,NS20,NovaSpace France S.A.S.,2023,7,T06,Accruals posting,6,3,2023-07-31,2023-08-03,2023-08-03,0.0,,false
583,NS20,NovaSpace France S.A.S.,2023,7,T07,Overhead allocation cycle,7,3,2023-07-31,2023-08-03,2023-08-04,1.0,,false
584,NS20,NovaSpace France S.A.S.,2023,7,T08,Intercompany reconciliation,8,3,2023-07-31,2023-08-03,2023-08-02,-1.0,,false
585,NS20,NovaSpace France S.A.S.,2023,7,T09,FX revaluation,9,4,2023-07-31,2023-08-04,2023-08-04,0.0,,false
586,NS20,NovaSpace France S.A.S.,2023,7,T10,Soft close / reporting cut-off,10,4,2023-07-31,2023-08-04,2023-08-07,1.0,,false
587,NS20,NovaSpace France S.A.S.,2023,7,T11,Management reporting pack,11,5,2023-07-31,2023-08-07,2023-08-07,0.0,,false
588,NS20,NovaSpace France S.A.S.,2023,7,T12,Hard close / period lock,12,5,2023-07-31,2023-08-07,2023-08-08,1.0,6.0,false
589,NS20,NovaSpace France S.A.S.,2023,8,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-08-31,2023-09-01,2023-09-01,0.0,,false
590,NS20,NovaSpace France S.A.S.,2023,8,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-08-31,2023-09-01,2023-09-01,0.0,,false
591,NS20,NovaSpace France S.A.S.,2023,8,T03,GR/IR clearing,3,2,2023-08-31,2023-09-04,2023-09-04,0.0,,false
592,NS20,NovaSpace France S.A.S.,2023,8,T04,Payroll posting,4,2,2023-08-31,2023-09-04,2023-09-05,1.0,,false
593,NS20,NovaSpace France S.A.S.,2023,8,T05,Depreciation run,5,2,2023-08-31,2023-09-04,2023-09-04,0.0,,false
594,NS20,NovaSpace France S.A.S.,2023,8,T06,Accruals posting,6,3,2023-08-31,2023-09-05,2023-09-05,0.0,,false
595,NS20,NovaSpace France S.A.S.,2023,8,T07,Overhead allocation cycle,7,3,2023-08-31,2023-09-05,2023-09-05,0.0,,false
596,NS20,NovaSpace France S.A.S.,2023,8,T08,Intercompany reconciliation,8,3,2023-08-31,2023-09-05,2023-09-06,1.0,,false
597,NS20,NovaSpace France S.A.S.,2023,8,T09,FX revaluation,9,4,2023-08-31,2023-09-06,2023-09-08,2.0,,false
598,NS20,NovaSpace France S.A.S.,2023,8,T10,Soft close / reporting cut-off,10,4,2023-08-31,2023-09-06,2023-09-08,2.0,,false
599,NS20,NovaSpace France S.A.S.,2023,8,T11,Management reporting pack,11,5,2023-08-31,2023-09-07,2023-09-06,-1.0,,false
600,NS20,NovaSpace France S.A.S.,2023,8,T12,Hard close / period lock,12,5,2023-08-31,2023-09-07,2023-09-07,0.0,5.0,false
601,NS20,NovaSpace France S.A.S.,2023,9,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-09-30,2023-10-02,2023-10-02,0.0,,false
602,NS20,NovaSpace France S.A.S.,2023,9,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-09-30,2023-10-02,2023-10-02,0.0,,false
603,NS20,NovaSpace France S.A.S.,2023,9,T03,GR/IR clearing,3,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
604,NS20,NovaSpace France S.A.S.,2023,9,T04,Payroll posting,4,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
605,NS20,NovaSpace France S.A.S.,2023,9,T05,Depreciation run,5,2,2023-09-30,2023-10-03,2023-10-03,0.0,,false
606,NS20,NovaSpace France S.A.S.,2023,9,T06,Accruals posting,6,3,2023-09-30,2023-10-04,2023-10-04,0.0,,false
607,NS20,NovaSpace France S.A.S.,2023,9,T07,Overhead allocation cycle,7,3,2023-09-30,2023-10-04,2023-10-04,0.0,,false
608,NS20,NovaSpace France S.A.S.,2023,9,T08,Intercompany reconciliation,8,3,2023-09-30,2023-10-04,2023-10-04,0.0,,false
609,NS20,NovaSpace France S.A.S.,2023,9,T09,FX revaluation,9,4,2023-09-30,2023-10-05,2023-10-04,-1.0,,false
610,NS20,NovaSpace France S.A.S.,2023,9,T10,Soft close / reporting cut-off,10,4,2023-09-30,2023-10-05,2023-10-05,0.0,,false
611,NS20,NovaSpace France S.A.S.,2023,9,T11,Management reporting pack,11,5,2023-09-30,2023-10-06,2023-10-06,0.0,,false
612,NS20,NovaSpace France S.A.S.,2023,9,T12,Hard close / period lock,12,5,2023-09-30,2023-10-06,2023-10-05,-1.0,4.0,false
613,NS20,NovaSpace France S.A.S.,2023,10,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-10-31,2023-11-01,2023-11-01,0.0,,false
614,NS20,NovaSpace France S.A.S.,2023,10,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-10-31,2023-11-01,2023-11-01,0.0,,false
615,NS20,NovaSpace France S.A.S.,2023,10,T03,GR/IR clearing,3,2,2023-10-31,2023-11-02,2023-11-01,-1.0,,false
616,NS20,NovaSpace France S.A.S.,2023,10,T04,Payroll posting,4,2,2023-10-31,2023-11-02,2023-11-02,0.0,,false
617,NS20,NovaSpace France S.A.S.,2023,10,T05,Depreciation run,5,2,2023-10-31,2023-11-02,2023-11-02,0.0,,false
618,NS20,NovaSpace France S.A.S.,2023,10,T06,Accruals posting,6,3,2023-10-31,2023-11-03,2023-11-06,1.0,,false
619,NS20,NovaSpace France S.A.S.,2023,10,T07,Overhead allocation cycle,7,3,2023-10-31,2023-11-03,2023-11-03,0.0,,false
620,NS20,NovaSpace France S.A.S.,2023,10,T08,Intercompany reconciliation,8,3,2023-10-31,2023-11-03,2023-11-03,0.0,,false
621,NS20,NovaSpace France S.A.S.,2023,10,T09,FX revaluation,9,4,2023-10-31,2023-11-06,2023-11-03,-1.0,,false
622,NS20,NovaSpace France S.A.S.,2023,10,T10,Soft close / reporting cut-off,10,4,2023-10-31,2023-11-06,2023-11-06,0.0,,false
623,NS20,NovaSpace France S.A.S.,2023,10,T11,Management reporting pack,11,5,2023-10-31,2023-11-07,2023-11-09,2.0,,false
624,NS20,NovaSpace France S.A.S.,2023,10,T12,Hard close / period lock,12,5,2023-10-31,2023-11-07,2023-11-06,-1.0,4.0,false
625,NS20,NovaSpace France S.A.S.,2023,11,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-11-30,2023-12-01,2023-12-01,0.0,,false
626,NS20,NovaSpace France S.A.S.,2023,11,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-11-30,2023-12-01,2023-12-01,0.0,,false
627,NS20,NovaSpace France S.A.S.,2023,11,T03,GR/IR clearing,3,2,2023-11-30,2023-12-04,2023-12-04,0.0,,false
628,NS20,NovaSpace France S.A.S.,2023,11,T04,Payroll posting,4,2,2023-11-30,2023-12-04,2023-12-06,2.0,,false
629,NS20,NovaSpace France S.A.S.,2023,11,T05,Depreciation run,5,2,2023-11-30,2023-12-04,2023-12-04,0.0,,false
630,NS20,NovaSpace France S.A.S.,2023,11,T06,Accruals posting,6,3,2023-11-30,2023-12-05,2023-12-05,0.0,,false
631,NS20,NovaSpace France S.A.S.,2023,11,T07,Overhead allocation cycle,7,3,2023-11-30,2023-12-05,2023-12-06,1.0,,false
632,NS20,NovaSpace France S.A.S.,2023,11,T08,Intercompany reconciliation,8,3,2023-11-30,2023-12-05,2023-12-05,0.0,,false
633,NS20,NovaSpace France S.A.S.,2023,11,T09,FX revaluation,9,4,2023-11-30,2023-12-06,2023-12-06,0.0,,false
634,NS20,NovaSpace France S.A.S.,2023,11,T10,Soft close / reporting cut-off,10,4,2023-11-30,2023-12-06,2023-12-06,0.0,,false
635,NS20,NovaSpace France S.A.S.,2023,11,T11,Management reporting pack,11,5,2023-11-30,2023-12-07,2023-12-07,0.0,,false
636,NS20,NovaSpace France S.A.S.,2023,11,T12,Hard close / period lock,12,5,2023-11-30,2023-12-07,2023-12-07,0.0,5.0,false
637,NS20,NovaSpace France S.A.S.,2023,12,T01,Sub-ledger cut-off — Accounts Payable,1,1,2023-12-31,2024-01-02,2024-01-03,1.0,,false
638,NS20,NovaSpace France S.A.S.,2023,12,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2023-12-31,2024-01-02,2024-01-02,0.0,,false
639,NS20,NovaSpace France S.A.S.,2023,12,T03,GR/IR clearing,3,2,2023-12-31,2024-01-03,2024-01-04,1.0,,false
640,NS20,NovaSpace France S.A.S.,2023,12,T04,Payroll posting,4,2,2023-12-31,2024-01-03,2024-01-04,1.0,,false
641,NS20,NovaSpace France S.A.S.,2023,12,T05,Depreciation run,5,2,2023-12-31,2024-01-03,2024-01-03,0.0,,false
642,NS20,NovaSpace France S.A.S.,2023,12,T06,Accruals posting,6,3,2023-12-31,2024-01-04,2024-01-04,0.0,,false
643,NS20,NovaSpace France S.A.S.,2023,12,T07,Overhead allocation cycle,7,3,2023-12-31,2024-01-04,2024-01-04,0.0,,false
644,NS20,NovaSpace France S.A.S.,2023,12,T08,Intercompany reconciliation,8,3,2023-12-31,2024-01-04,2024-01-03,-1.0,,false
645,NS20,NovaSpace France S.A.S.,2023,12,T09,FX revaluation,9,4,2023-12-31,2024-01-05,2024-01-04,-1.0,,false
646,NS20,NovaSpace France S.A.S.,2023,12,T10,Soft close / reporting cut-off,10,4,2023-12-31,2024-01-05,2024-01-04,-1.0,,false
647,NS20,NovaSpace France S.A.S.,2023,12,T11,Management reporting pack,11,5,2023-12-31,2024-01-08,2024-01-09,1.0,,false
648,NS20,NovaSpace France S.A.S.,2023,12,T12,Hard close / period lock,12,5,2023-12-31,2024-01-08,2024-01-08,0.0,5.0,false
649,NS20,NovaSpace France S.A.S.,2024,1,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-01-31,2024-02-01,2024-02-01,0.0,,false
650,NS20,NovaSpace France S.A.S.,2024,1,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-01-31,2024-02-01,2024-02-02,1.0,,false
651,NS20,NovaSpace France S.A.S.,2024,1,T03,GR/IR clearing,3,2,2024-01-31,2024-02-02,2024-02-02,0.0,,false
652,NS20,NovaSpace France S.A.S.,2024,1,T04,Payroll posting,4,2,2024-01-31,2024-02-02,2024-02-02,0.0,,false
653,NS20,NovaSpace France S.A.S.,2024,1,T05,Depreciation run,5,2,2024-01-31,2024-02-02,2024-02-01,-1.0,,false
654,NS20,NovaSpace France S.A.S.,2024,1,T06,Accruals posting,6,3,2024-01-31,2024-02-05,2024-02-05,0.0,,false
655,NS20,NovaSpace France S.A.S.,2024,1,T07,Overhead allocation cycle,7,3,2024-01-31,2024-02-05,2024-02-02,-1.0,,false
656,NS20,NovaSpace France S.A.S.,2024,1,T08,Intercompany reconciliation,8,3,2024-01-31,2024-02-05,2024-02-05,0.0,,false
657,NS20,NovaSpace France S.A.S.,2024,1,T09,FX revaluation,9,4,2024-01-31,2024-02-06,2024-02-06,0.0,,false
658,NS20,NovaSpace France S.A.S.,2024,1,T10,Soft close / reporting cut-off,10,4,2024-01-31,2024-02-06,2024-02-06,0.0,,false
659,NS20,NovaSpace France S.A.S.,2024,1,T11,Management reporting pack,11,5,2024-01-31,2024-02-07,2024-02-07,0.0,,false
660,NS20,NovaSpace France S.A.S.,2024,1,T12,Hard close / period lock,12,5,2024-01-31,2024-02-07,2024-02-07,0.0,5.0,false
661,NS20,NovaSpace France S.A.S.,2024,2,T01,Sub-ledger cut-off — Accounts Payable,1,1,2024-02-29,2024-03-01,2024-03-01,0.0,,false
662,NS20,NovaSpace France S.A.S.,2024,2,T02,Sub-ledger cut-off — Accounts Receivable,2,1,2024-02-29,2024-03-01,2024-03-01,0.0,,false
663,NS20,NovaSpace France S.A.S.,2024,2,T03,GR/IR clearing,3,2,2024-02-29,2024-03-04,2024-03-05,1.0,,false
664,NS20,NovaSpace France S.A.S.,2024,2,T04,Payroll posting,4,2,2024-02-29,2024-03-04,2024-03-04,0.0,,false
665,NS20,NovaSpace France S.A.S.,2024,2,T05,Depreciation run,5,2,2024-02-29,2024-03-04,2024-03-04,0.0,,false
666,NS20,NovaSpace France S.A.S.,2024,2,T06,Accruals posting,6,3,2024-02-29,2024-03-05,2024-03-06,1.0,,false
667,NS20,NovaSpace France S.A.S.,2024,2,T07,Overhead allocation cycle,7,3,2024-02-29,2024-03-05,2024-03-05,0.0,,false
668,NS20,NovaSpace France S.A.S.,2024,2,T08,Intercompany reconciliation,8,3,2024-02-29,2024-03-05,2024-03-06,1.0,,false
669,NS20,NovaSpace France S.A.S.,2024,2,T09,FX revaluation,9,4,2024-02-29,2024-03-06,2024-03-08,2.0,,false
670,NS20,NovaSpace France S.A.S.,2024,2,T10,Soft close / reporting cut-off,10,4,2024-02-29,2024-03-06,2024-03-06,0.0,,false
671,NS20,NovaSpace France S.A.S.,2024,2,T11,Management reporting pack,11,5,2024-02-29,2024-03-07,2024-03-07,0.0,,false
