journal_id,company_code,document_number,document_line,document_type,posting_date,document_date,entry_date,fiscal_year,fiscal_period,gl_account,cost_center,programme_id,debit_credit_ind,amount_doc_currency,doc_currency,amount_local_currency,local_currency,amount_group_currency,group_currency,is_intercompany,ic_partner_company,posting_user_id,is_reversal,reversed_document
139,NS10,1000000083,3,SA,2023-01-31,2023-01-31,2023-02-02,2023,1,600160,CC-10-1041,,S,873.27,EUR,873.27,EUR,873.27,EUR,false,,USR-BC5A44,false,
140,NS10,1000000084,1,RE,2023-01-23,2023-01-21,2023-01-23,2023,1,610150,CC-10-1005,,S,6781.68,EUR,6781.68,EUR,6781.68,EUR,false,,USR-B7AC97,false,
141,NS10,1000000085,1,KR,2023-01-05,2023-01-02,2023-01-09,2023,1,650070,CC-10-1041,PRG-HELIOS,S,403.94,EUR,403.94,EUR,403.94,EUR,false,,USR-6EDA16,false,
142,NS10,1000000085,2,KR,2023-01-05,2023-01-02,2023-01-09,2023,1,610010,CC-10-1026,,S,5016.72,EUR,5016.72,EUR,5016.72,EUR,false,,USR-6EDA16,false,
143,NS10,1000000085,3,KR,2023-01-05,2023-01-02,2023-01-09,2023,1,650130,CC-10-1046,,S,589.93,EUR,589.93,EUR,589.93,EUR,false,,USR-6EDA16,false,
144,NS10,1000000086,1,RE,2023-01-16,2023-01-15,2023-01-16,2023,1,500050,CC-10-1034,,S,3074.8,EUR,3074.8,EUR,3074.8,EUR,false,,USR-A791FF,false,
145,NS10,1000000086,2,RE,2023-01-16,2023-01-15,2023-01-16,2023,1,610080,CC-10-1049,,S,25713.36,EUR,25713.36,EUR,25713.36,EUR,false,,USR-A791FF,false,
146,NS10,1000000087,1,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650260,CC-10-1046,PRG-HELIOS,S,864.39,EUR,864.39,EUR,864.39,EUR,false,,USR-2EBB92,false,
147,NS10,1000000088,1,RV,2023-01-26,2023-01-25,2023-01-30,2023,1,400110,,,H,22352.96,EUR,22352.96,EUR,22352.96,EUR,false,,USR-BC5A44,false,
148,NS10,1000000089,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680030,CC-10-1005,,S,1497.66,EUR,1497.66,EUR,1497.66,EUR,false,,USR-B7AC97,false,
149,NS10,1000000089,2,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680010,CC-10-1011,,S,1760.36,EUR,1760.36,EUR,1760.36,EUR,false,,USR-B7AC97,false,
150,NS10,1000000089,3,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680090,CC-10-1029,PRG-HELIOS,S,1340.68,EUR,1340.68,EUR,1340.68,EUR,false,,USR-B7AC97,false,
151,NS10,1000000090,1,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650240,CC-10-1048,,S,706.81,EUR,706.81,EUR,706.81,EUR,false,,USR-86C753,false,
152,NS10,1000000090,2,KA,2023-01-31,2023-01-31,2023-02-03,2023,1,650260,CC-10-1045,PRG-HELIOS,S,152.97,EUR,152.97,EUR,152.97,EUR,false,,USR-86C753,false,
153,NS10,1000000091,1,KR,2023-01-30,2023-01-30,2023-01-30,2023,1,500220,CC-10-1047,PRG-HELIOS,S,2092.15,EUR,2092.15,EUR,2092.15,EUR,false,,USR-181C01,false,
154,NS10,1000000091,2,KR,2023-01-30,2023-01-30,2023-01-30,2023,1,610080,CC-10-1050,PRG-HELIOS,S,5072.13,EUR,5072.13,EUR,5072.13,EUR,false,,USR-181C01,false,
155,NS10,1000000092,1,SA,2023-01-30,2023-01-30,2023-02-06,2023,1,610010,CC-10-1041,,S,2344.98,EUR,2344.98,EUR,2344.98,EUR,false,,USR-718397,false,
156,NS10,1000000092,2,SA,2023-01-30,2023-01-30,2023-02-06,2023,1,610060,CC-10-1019,,S,4204.52,EUR,4204.52,EUR,4204.52,EUR,false,,USR-718397,false,
157,NS10,1000000092,3,SA,2023-01-30,2023-01-30,2023-02-06,2023,1,500240,CC-10-1007,,S,4969.97,EUR,4969.97,EUR,4969.97,EUR,false,,USR-718397,false,
158,NS10,1000000092,4,SA,2023-01-30,2023-01-30,2023-02-06,2023,1,650240,CC-10-1043,PRG-HELIOS,S,1329.03,EUR,1329.03,EUR,1329.03,EUR,false,,USR-718397,false,
159,NS10,1000000093,1,RE,2023-01-13,2023-01-12,2023-01-13,2023,1,610050,CC-10-1010,,S,3754.34,EUR,3754.34,EUR,3754.34,EUR,false,,USR-C814CE,false,
160,NS10,1000000094,1,RV,2023-01-10,2023-01-09,2023-01-10,2023,1,400100,,,H,37501.92,GBP,43566.21,EUR,43566.21,EUR,false,,USR-801710,false,
161,NS10,1000000094,2,RV,2023-01-10,2023-01-09,2023-01-10,2023,1,400120,,,H,9106.61,GBP,10579.2,EUR,10579.2,EUR,false,,USR-801710,false,
162,NS10,1000000094,3,RV,2023-01-10,2023-01-09,2023-01-10,2023,1,400060,,,H,21128.89,GBP,24545.56,EUR,24545.56,EUR,false,,USR-801710,false,
163,NS10,1000000095,1,KR,2023-01-25,2023-01-24,2023-01-25,2023,1,650180,CC-10-1040,PRG-VESTA,S,746.54,EUR,746.54,EUR,746.54,EUR,false,,USR-F9C262,false,
164,NS10,1000000095,2,KR,2023-01-25,2023-01-24,2023-01-25,2023,1,500110,CC-10-1016,,S,6475.15,EUR,6475.15,EUR,6475.15,EUR,false,,USR-F9C262,false,
165,NS10,1000000095,3,KR,2023-01-25,2023-01-24,2023-01-25,2023,1,500080,CC-10-1011,,S,5211.1,EUR,5211.1,EUR,5211.1,EUR,false,,USR-F9C262,false,
166,NS10,1000000096,1,SB,2023-01-31,2023-01-31,2023-02-03,2023,1,650080,CC-10-1050,PRG-HELIOS,S,736.81,EUR,736.81,EUR,736.81,EUR,false,,USR-5EEC9E,false,
167,NS10,1000000097,1,RE,2023-01-25,2023-01-24,2023-01-27,2023,1,500040,CC-10-1024,,S,1327.08,EUR,1327.08,EUR,1327.08,EUR,false,,USR-86C753,false,
168,NS10,1000000098,1,KR,2023-01-10,2023-01-06,2023-01-11,2023,1,500010,CC-10-1023,,S,5803.75,EUR,5803.75,EUR,5803.75,EUR,false,,USR-C93B82,false,
169,NS10,1000000099,1,WA,2023-01-31,2023-01-31,2023-01-31,2023,1,500240,CC-10-1008,PRG-HELIOS,S,1923.76,EUR,1923.76,EUR,1923.76,EUR,false,,USR-6EDA16,false,
170,NS10,1000000099,2,WA,2023-01-31,2023-01-31,2023-01-31,2023,1,500100,CC-10-1010,,S,3212.3,EUR,3212.3,EUR,3212.3,EUR,false,,USR-6EDA16,false,
171,NS10,1000000099,3,WA,2023-01-31,2023-01-31,2023-01-31,2023,1,500160,CC-10-1024,,S,2216.27,EUR,2216.27,EUR,2216.27,EUR,false,,USR-6EDA16,false,
172,NS10,1000000100,1,KR,2023-01-19,2023-01-15,2023-01-23,2023,1,500060,CC-10-1012,,S,8762.02,EUR,8762.02,EUR,8762.02,EUR,false,,USR-5EEC9E,false,
173,NS10,1000000101,1,KR,2023-01-11,2023-01-08,2023-01-13,2023,1,610090,CC-10-1033,PRG-HELIOS,S,3050.62,GBP,3543.92,EUR,3543.92,EUR,false,,USR-C621FB,false,
174,NS10,1000000101,2,KR,2023-01-11,2023-01-08,2023-01-13,2023,1,500080,CC-10-1045,,S,3747.71,GBP,4353.74,EUR,4353.74,EUR,false,,USR-C621FB,false,
175,NS10,1000000102,1,RV,2023-01-30,2023-01-30,2023-01-30,2023,1,400070,,,H,28427.55,EUR,28427.55,EUR,28427.55,EUR,false,,USR-5EEC9E,false,
176,NS10,1000000103,1,RE,2023-01-25,2023-01-21,2023-01-26,2023,1,500200,CC-10-1002,,S,2990.67,GBP,3474.28,EUR,3474.28,EUR,false,,USR-D6F9BD,false,
177,NS10,1000000104,1,SA,2023-01-23,2023-01-23,2023-02-06,2023,1,500160,CC-10-1033,PRG-TERRA,S,6879.02,EUR,6879.02,EUR,6879.02,EUR,false,,USR-C621FB,false,
178,NS10,1000000104,2,SA,2023-01-23,2023-01-23,2023-02-06,2023,1,690110,CC-10-1002,,S,122.9,EUR,122.9,EUR,122.9,EUR,false,,USR-C621FB,false,
179,NS10,1000000105,1,RE,2023-01-06,2023-01-06,2023-01-09,2023,1,610030,CC-10-1032,,S,5331.99,EUR,5331.99,EUR,5331.99,EUR,false,,USR-C93B82,false,
180,NS10,1000000106,1,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680060,CC-10-1025,,S,1447.92,USD,1328.74,EUR,1328.74,EUR,false,,USR-160088,false,
181,NS10,1000000106,2,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680060,CC-10-1023,PRG-KESTREL,S,2474.52,USD,2270.83,EUR,2270.83,EUR,false,,USR-160088,false,
182,NS10,1000000106,3,AF,2023-01-31,2023-01-31,2023-02-02,2023,1,680040,CC-10-1031,,S,2729.96,USD,2505.25,EUR,2505.25,EUR,false,,USR-160088,false,
183,NS10,1000000107,1,WA,2023-01-23,2023-01-23,2023-01-23,2023,1,500050,CC-10-1045,,S,1767.66,EUR,1767.66,EUR,1767.66,EUR,false,,USR-B7AC97,false,
184,NS10,1000000108,1,RV,2023-01-04,2023-01-04,2023-01-05,2023,1,400060,,,H,20955.6,EUR,20955.6,EUR,20955.6,EUR,false,,USR-16D926,false,
185,NS10,1000000108,2,RV,2023-01-04,2023-01-04,2023-01-05,2023,1,400050,,,H,34830.97,EUR,34830.97,EUR,34830.97,EUR,false,,USR-16D926,false,
186,NS10,1000000108,3,RV,2023-01-04,2023-01-04,2023-01-05,2023,1,400030,,,H,12386.4,EUR,12386.4,EUR,12386.4,EUR,false,,USR-16D926,false,
187,NS10,1000000109,1,RV,2023-01-27,2023-01-24,2023-01-27,2023,1,400090,,,H,38133.55,EUR,38133.55,EUR,38133.55,EUR,false,,USR-5EEC9E,false,
188,NS10,1000000110,1,WA,2023-01-09,2023-01-09,2023-01-09,2023,1,500000,CC-10-1022,PRG-HELIOS,S,1410.52,EUR,1410.52,EUR,1410.52,EUR,false,,USR-C93B82,false,
189,NS10,1000000110,2,WA,2023-01-09,2023-01-09,2023-01-09,2023,1,500200,CC-10-1025,,S,3866.46,EUR,3866.46,EUR,3866.46,EUR,false,,USR-C93B82,false,
190,NS10,1000000110,3,WA,2023-01-09,2023-01-09,2023-01-09,2023,1,500020,CC-10-1020,PRG-HELIOS,S,1019.02,EUR,1019.02,EUR,1019.02,EUR,false,,USR-C93B82,false,
191,NS10,1000000110,4,WA,2023-01-09,2023-01-09,2023-01-09,2023,1,500000,CC-10-1027,,S,1659.88,EUR,1659.88,EUR,1659.88,EUR,false,,USR-C93B82,false,
192,NS10,1000000111,1,SA,2023-01-16,2023-01-16,2023-02-03,2023,1,500070,CC-10-1006,,S,1472.89,EUR,1472.89,EUR,1472.89,EUR,false,,USR-86C753,false,
193,NS10,1000000111,2,SA,2023-01-16,2023-01-16,2023-02-03,2023,1,500230,CC-10-1014,,S,1977.17,EUR,1977.17,EUR,1977.17,EUR,false,,USR-86C753,false,
194,NS10,1000000112,1,RE,2023-01-26,2023-01-24,2023-01-30,2023,1,500160,CC-10-1001,PRG-HELIOS,S,5871.38,EUR,5871.38,EUR,5871.38,EUR,false,,USR-6704A0,false,
195,NS10,1000000113,1,KR,2023-01-05,2023-01-04,2023-01-06,2023,1,500010,CC-10-1049,,S,4159.3,EUR,4159.3,EUR,4159.3,EUR,false,,USR-734C7E,false,
196,NS10,1000000114,1,ML,2023-01-31,2023-01-31,2023-02-02,2023,1,600250,CC-10-1042,,S,1128.19,EUR,1128.19,EUR,1128.19,EUR,false,,USR-D6F9BD,false,
197,NS10,1000000115,1,IC,2023-01-11,2023-01-11,2023-02-01,2023,1,650180,CC-10-1042,,S,487.18,EUR,487.18,EUR,487.18,EUR,true,NS30,USR-6EDA16,false,
198,NS10,1000000115,2,IC,2023-01-11,2023-01-11,2023-02-01,2023,1,610050,CC-10-1002,PRG-HELIOS,S,10878.1,EUR,10878.1,EUR,10878.1,EUR,true,NS30,USR-6EDA16,false,
199,NS10,1000000116,1,KR,2023-01-31,2023-01-26,2023-01-31,2023,1,610190,CC-10-1014,PRG-KESTREL,S,2339.18,EUR,2339.18,EUR,2339.18,EUR,false,,USR-C93B82,false,
200,NS10,1000000116,2,KR,2023-01-31,2023-01-26,2023-01-31,2023,1,500220,CC-10-1048,,S,2435.17,EUR,2435.17,EUR,2435.17,EUR,false,,USR-C93B82,false,
